Abi; Abigail; F
Adri, Ader; Adrián, Adriano, Adrião
Aidan, Eidan, Aidane; Aidan, Eidan, Aydan, Ayden, Aydin, Aedan, Aedyn.; MMF
Aleksi; Alex, Alejandro, Alexander; F
Alfer; Alfonso, Alfons, Alfonz, Alonso, Afonso; M 
Ankaro, Osker; Óscar, Oskar, Oskaro, Oskari; M 
Anyela, Angela; Ángela, Angelina; F
Bel, Betani; Belén, Bethany; F
Carlen, Carlin, Karlen, Karlin; Carlen; M 
Cloi; Cloe, Chloe; F
Dani, Danel; Daniel, Deniel, Daniil; M 
Dario, Darie, Daren, Dariun; Darej, Darius; M
Davit; David, Dave, Dabit, Dovydas, Dawfydd; M 
Elene, Lena; Elena, Helena, Lena, Helen, Olena; F 
Enrik, Enrike; Enrique, Henry, Heinrich; M 
Esiak; Isaac; M 
Ferni, Ferne, Fernen; Fernando, Ferdinand; M 
Franci, Franke; Francesco, Francisco, Franz, Frano, Xicu; M 
Iolande; Yolanda, Yolande, Jolanda, Iolanda; F 
Jesu; Jesús, Josué, Jesse; M 
Lau, Laure, Laren; Laura; FFM 
Lita; Luz, Luc, Lucy; F 
Lui; Luis, Ludwig, Ludovico, Louis; M 
Luke, Luqe; Lucas, Luke, Luc, Luca; M 
Luzia, Luzila; Lucía, Lucy; F 
Maikel; Michael, Miguel, Mike; M 
Manol, Manel, Manole; Manuel, Emmanuel, Immanuel; MMM
Maren; Marina; F 
Marie; María, Mary, Miriam, Mair, Miren; F 
Marke; Marcos, Markus, Marco, Markel, Marek; M 
Niko, Nikola, Nikore; Nicolás, Nicol, Claus, Nickel; MFF
Onara, Sofia; Sofía, Sophie, Sofi; F
Paule; Pablo, Paulo, Paul, Paure, Pol; F 
Petro, Petra; Peter, Pedro, Petra; MF 
Rika; Raquel, Rachel, Raheliat, Reih; F
Rike, Ritser; Ricardo, Richard; M
Rober; Roberto, Robert, Ruprecht; M 
Sebasi; Sebastián, Sébastien, Bastian; M 
Yoan, Ioan, Ean; Juan, Joan, Ian, John, Jonas; M
