Aera 							| - 												| Femenino 	| Ligera como el aire. | Origen Aidanés.
Aidan, Eidan, Aidane 			| Aidan, Eidan, Aydan, Ayden, Aydin, Aedan, Aedyn. 	| M, M, F 	| Pequeño fuego. Origen gáelico.
Aleksi 							| Alex, Alejandro, Alexander 						| Unisex 	| El protector. Origen griego 
Alfer 							| Alfonso, Alfons, Alfonz, Alonso, Afonso			| Masculino | Noble dispuesto al combate. Origen germánico gótico.
Ankaro. Osker 					| Óscar, Oskar, Oskaro, Oskari 						| Masculino | Lanza divina. Origen germánico. 
Antian 							| -													| Masculino | Guerrero de fuego. Origen Aidanés.
Anyela, Angela 					| Ángela, Angelina									| Femenino 	| La mensajera de Dios. Origen griego.
Bel, Betani 					| Belén, Bethany 									| Femenino 	| Casa del pan. Origen hebreo.
Carlen, Carlin, Karlen, Karlin	| Carlen 											| Masculino | Pequeño campeón. Origen irlandés.
Cloi 							| Cloe, Chloe 										| Femenino 	| Verde, fértil. Origen griego.
Dani, Danel 					| Daniel, Deniel, Daniil 							| Masculino | Dios es mi juez. Origen hebreo
Dario, Darie, Daren, Dariun 	| Darej, Darius										| Masculino | el que posee el Bien. Origen persa.
Davit 							| David, Dave, Dabit, Dovydas, Dawfydd 				| Masculino | Amado. Origen hebreo.
Elene, Lena 					| Elena, Helena, Lena, Helen, Olena 				| Femenino 	| Brillante, deslumbrante o resplandeciente. Origen griego.
Enrik, Enrike 					| Enrique, Henry, Heinrich 							| Masculino | Amo de la casa. Origen alemán.
Esiak 							| Isaac												| Masculino | El jefe de tu jefe. Origen hebreo.
Etrixa 							| - 												| Femenino 	| Sincera. Origen Aidanés.
Fain, Faine						| - 												| M, F 		| Que tiene fé. Origen Aidanés.
Ferni, Ferne, Fernen 			| Fernando, Ferdinand 								| Masculino | El que se atreve a todo por la paz. Origen germánico.
Franci 							| Francesco, Francisco, Franz, Frano, Xicu 			| Masculino | Libre / Audaz. Origen germánico.
Helere 							| - 												| Femenino 	| Afortunada, Origen Aidanés. 
Henin 							| - 												| Masculino | Constante. Perseverante. Origen Aidanés.
Herren 							| - 												| Masculino | Hecho de hierro. | Origen Aidanés.
Iolande 						| Yolanda, Yolande, Jolanda, Iolanda 				| Femenino 	| Origen germánico: tierra de riquezas. Origen Griego: aquella que es de las tierras violetas. Origen Latino: La que da regocijo
Jesu 							| Jesús, Josué, Jesse 								| Masculino | Salvador. Origen arameo.
Juksei							| - 												| Masculino | Hombre de buena ley. Origen Aidanés.
Lania 							| -													| Femenino 	| Preocupada por los demás. Origen Aidanés.
Lau, Laure, Laren 				| Laura 											| F, F, M 	| Victoriosa. Origen latin
Lita 							| Luz, Luc, Lucy 									| Femenino 	| la que da claridad. Origen latín
Lui								| Luis, Ludwig, Ludovico, Louis 					| Masculino | Ilustre en el combate. Origen gérmanico fráncico.
Luke, Luqe 						| Lucas, Luke, Luc, Luca 							| Masculino | Aquel que ilumina, brilla, resplandece. Origen grecolatino.
Luzia, Luzila 					| Lucía, Lucy 										| Femenino 	| La que nació a la luz del día. Origen latino.
Maikel 							| Michael, Miguel, Mike 							| Masculino | Dios es justo. Origen hebreo 
Manol, Manel, Manole			| Manuel, Emmanuel, Immanuel 						| Masculino | Dios con nosotros. Origen hebreo
Maren 							| Marina 											| Femenino 	| Nacida en el mar. Origen latim.
Marie 							| María, Mary, Miriam, Mair, Miren 					| Femenino 	| Eminente, excelsa. Origen hebreo.
Marke 							| Marcos, Markus, Marco, Markel, Marek 				| Masculino | Consagrado a Marte. Origen latino.
Nevaki 							| -													| Unisex 	| Siempre jóven. Origen Aidanés.
Niko, Nikola, Nikore			| Nicolás, Nicol, Claus, Nickel 					| M, F 		| La victoria del pueblo. Origen griego.
Nitore 							| - 												| Femenino 	| Mujer nocturna. Origen Aidanés.
Onara, Sofia 					| Sofía, Sophie, Sofi 								| Femenino 	| La que tiene sabiduría. De origen griego. 
Painer 							| - 												| Masculino | Padre de todos. Gran padre. Origen Aidanés.
Paule 							| Pablo, Paulo, Paul, Paure, Pol					| Unisex 	| Pequeño, hombre de humildad. Origen latin.
Perler 							| - 												| Masculino | Veloz como un ciervo. Origen Aidanés
Petro, Petra 					| Peter, Pedro, Petra 								| M, F 		| Piedra. Origen latin. 
Rika 							| Raquel, Rachel, Raheliat, Reih 					| Femenino 	| La oveja de Dios. Origen hebreo.
Rike, Ritser 					| Ricardo, Richard 									| Masculino | El rey fuerte. Origen germánico
Rober 							| Roberto, Robert, Ruprecht 						| Masculino | Aquel cuya fama brilla. Origen germánico.
Sebasi 							| Sebastián, Sébastien, Bastian 					| Masculino | Honrado o venerado. Origen griego.
Selaiba 						| - 												| Femenino 	| Sonrisa bonita. | Origen Aidanés.
Solen 							| - 												| Masculino | Que viene del sol. Origen Aidanés.
Taiger 							| - 												| Masculino | Con espíritu de tigre. Origen Aidanés. 
Valina 							| - 												| Femenino 	| Mujer de valor, de carácter. Origen Aidanés.
Yoan, Ioan, Ean 				| Juan, Joan, Ian, John, Jonas 						| Masculino | Yahvé es favorable. Origen hebreo.
