Antian; M, Guerrero de fuego.
Etrixa; F, Sincera.
Fain, Faine; MF, Que tiene fé.
Helere; F, Afortunada
Henin; M, Constante, perseverante.
Herren; M, Hecho de hierro. 
Juksei; M, Hombre de buena ley.
Lania; F, Preocupada por los demás.
Nevaki; U, Siempre jóven.
Nitore; F, Mujer nocturna.
Perler; M, Veloz como un ciervo.
Painer; M, Padre de todos. Gran padre.
Selaiba; F, Sonrisa bonita.
Solen; M, Que viene del sol.
Taiger; M, Con espíritu de tigre.
Valina; F, Mujer de valor, de carácter.
Aera; F, Ligera como el aire.
